2022-03-07 13:22:38:[WARNING ]:  * Debugger is active!
2022-03-07 13:22:54:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:22:54] "[36mGET /static/main.css HTTP/1.1[0m" 304 -
2022-03-07 13:22:55:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:22:55] "[32mGET /comment HTTP/1.1[0m" 302 -
2022-03-07 13:22:55:[INFO    ]: Exception 3'email'
2022-03-07 13:22:55:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:22:55] "GET /login HTTP/1.1" 200 -
2022-03-07 13:22:55:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:22:55] "[36mGET /static/main.css HTTP/1.1[0m" 304 -
2022-03-07 13:22:55:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:22:55] "[32mGET /photo HTTP/1.1[0m" 302 -
2022-03-07 13:22:55:[INFO    ]: Exception 3'email'
2022-03-07 13:22:55:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:22:55] "GET /login HTTP/1.1" 200 -
2022-03-07 13:22:55:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:22:55] "[36mGET /static/main.css HTTP/1.1[0m" 304 -
2022-03-07 13:22:59:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:22:59] "GET /register HTTP/1.1" 200 -
2022-03-07 13:22:59:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:22:59] "[36mGET /static/main.css HTTP/1.1[0m" 304 -
2022-03-07 13:22:59:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:22:59] "GET /logout HTTP/1.1" 200 -
2022-03-07 13:23:00:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:23:00] "[36mGET /static/main.css HTTP/1.1[0m" 304 -
2022-03-07 13:23:00:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:23:00] "[32mPOST /logout HTTP/1.1[0m" 302 -
2022-03-07 13:23:00:[INFO    ]: Exception 3'email'
2022-03-07 13:23:00:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:23:00] "GET /login HTTP/1.1" 200 -
2022-03-07 13:23:00:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:23:00] "[36mGET /static/main.css HTTP/1.1[0m" 304 -
2022-03-07 13:23:01:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:23:01] "GET / HTTP/1.1" 200 -
2022-03-07 13:23:01:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:23:01] "[36mGET /static/main.css HTTP/1.1[0m" 304 -
2022-03-07 13:23:01:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:23:01] "GET /author/picture/jose HTTP/1.1" 200 -
2022-03-07 13:23:01:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:23:01] "GET /author/picture/franklin HTTP/1.1" 200 -
2022-03-07 13:23:01:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:23:01] "GET /author/picture/robert HTTP/1.1" 200 -
2022-03-07 13:23:01:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:23:01] "GET /author/picture/george HTTP/1.1" 200 -
2022-03-07 13:23:56:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:23:56] "[32mGET /comment HTTP/1.1[0m" 302 -
2022-03-07 13:23:56:[INFO    ]: Exception 3'email'
2022-03-07 13:23:56:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:23:56] "GET /login HTTP/1.1" 200 -
2022-03-07 13:23:56:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:23:56] "[36mGET /static/main.css HTTP/1.1[0m" 304 -
2022-03-07 13:23:56:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:23:56] "[32mGET /photo HTTP/1.1[0m" 302 -
2022-03-07 13:23:56:[INFO    ]: Exception 3'email'
2022-03-07 13:23:56:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:23:56] "GET /login HTTP/1.1" 200 -
2022-03-07 13:23:56:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:23:56] "[36mGET /static/main.css HTTP/1.1[0m" 304 -
2022-03-07 13:23:57:[INFO    ]: Exception 3'email'
2022-03-07 13:23:57:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:23:57] "GET /login HTTP/1.1" 200 -
2022-03-07 13:23:57:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:23:57] "[36mGET /static/main.css HTTP/1.1[0m" 304 -
2022-03-07 13:24:03:[INFO    ]: Exception 3'email'
2022-03-07 13:24:03:[INFO    ]: user account admin@blog.com signed in
2022-03-07 13:24:03:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:24:03] "[32mPOST /login HTTP/1.1[0m" 302 -
2022-03-07 13:24:03:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:24:03] "GET /admin HTTP/1.1" 200 -
2022-03-07 13:24:03:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:24:03] "[36mGET /static/main.css HTTP/1.1[0m" 304 -
